group, axis, value
Emma, Mobile Engineering, 1
Emma, Web Client, 3
Emma, Infrastructure, 1
Emma, Servers, 2
Emma, Project Management, 2
Emma, Communication, 2
Emma, Quality, 2
Emma, Instigating Change, 3
Emma, Career Development, 2
Emma, Org Design, 1
Emma, Health & Wellbeing, 3
Emma, Performance Management, 2
Emma, Mentorship, 2
Emma, Evangelism, 2
Emma, Recruiting, 2
Emma, Community, 3
Lyra, Mobile Engineering, 0
Lyra, Web Client, 3
Lyra, Infrastructure, 2
Lyra, Servers, 4
Lyra, Project Management, 2
Lyra, Communication, 1
Lyra, Quality, 3
Lyra, Instigating Change, 3
Lyra, Career Development, 0
Lyra, Org Design, 2
Lyra, Health & Wellbeing, 1
Lyra, Performance Management, 1
Lyra, Mentorship, 2
Lyra, Evangelism, 0
Lyra, Recruiting, 3
Lyra, Community, 2
